#{"t_start": 1747922318.6042864, "env_id": "None"}
r,l,t
0.9390433,288,160.512115
0.51315767,288,160.512248
0.53758186,288,160.512357
0.22767879,288,160.512475
1.0511303,288,160.512588
0.9862847,288,160.512692
0.9110731,288,160.512797
1.0698496,288,160.5129
2.1805222,288,160.51301
-1.1624253,288,160.513115
2.3818,288,160.513231
1.5234872,288,160.513592
0.18048015,288,160.51373
-0.6363355,288,160.513848
0.64625853,288,160.513966
1.5224898,288,160.514103
-0.14267601,288,160.514212
2.0816107,288,160.514319
0.006289525,288,160.514426
-0.75632524,288,314.175852
1.2441261,288,314.176148
0.27543622,288,314.176307
1.1846071,288,314.176417
-1.2712871,288,314.176522
-0.9559635,288,314.176634
1.8991743,288,314.176749
-0.4485474,288,314.176858
0.15316932,288,314.176964
-0.34931153,288,314.177063
0.7764026,288,314.177167
0.19704142,288,314.177273
1.2946783,288,314.177374
2.3650334,288,314.177473
-0.41426384,288,314.177582
3.6536508,288,314.177686
-0.175839,288,314.177794
0.17048231,288,314.177898
-0.72546,288,314.178021
0.036418222,288,314.178126
0.8895932,288,314.178236
3.4222887,288,314.178391
-0.14560044,288,314.178498
1.43418,288,314.178604
1.4768643,288,314.178718
2.561476,288,314.178824
2.630965,288,314.178932
-0.12388556,288,314.179038
-0.5010619,288,314.179147
0.43251863,288,314.179253
3.0546033,288,314.179357
0.23014718,288,314.179479
-1.728021,288,314.179592
-0.49867147,288,314.179701
-0.08580478,288,314.179829
3.3492506,288,314.179939
-0.7748354,288,314.180043
2.7700872,288,314.180153
2.192782,288,314.180255
0.34798473,288,314.18036
1.524912,288,314.180468
0.9645392,288,314.180571
-0.70928085,288,314.180678
0.09563879,288,314.180803
1.3127754,288,314.180906
0.22276331,288,314.181015
1.473621,288,314.181128
-0.054467972,288,314.181232
-1.6683846,288,314.181341
-1.0861979,288,314.181443
-1.0797158,288,314.18155
-0.19006829,288,314.181675
1.2027135,288,314.181778
1.9040326,288,314.181885
0.5843564,288,314.18199
0.37184286,288,314.182092
-0.7840913,288,314.182203
-0.6207392,288,314.182328
-0.08574015,288,314.182438
-1.400396,288,314.182549
0.09955041,288,314.182654
-0.7003782,288,314.182758
0.41073504,288,314.182868
0.036033627,288,314.183002
1.0062182,288,314.183136
-0.099681206,288,314.183282
-0.6503803,288,314.183427
-0.75464654,288,314.183534
1.3563868,288,314.183643
1.0407646,288,314.183746
-0.17762192,288,314.183847
-1.5036651,288,314.183966
0.47614536,288,314.184069
-1.0666295,288,314.184175
1.445591,288,314.184273
1.7213016,288,314.184375
-0.3268152,288,314.184478
0.66459143,288,314.184587
0.78130794,288,314.184697
0.6251027,288,314.184795
1.8110714,288,314.184898
2.0741525,288,314.185008
-0.8909911,288,314.185109
1.0108352,288,314.185213
0.9560791,288,314.185313
1.9047221,288,314.185416
0.79295963,288,314.185514
0.36945993,288,314.185619
4.0562897,288,314.185723
-0.5313315,288,314.185828
-0.09053268,288,314.185937
0.48678237,288,314.186039
-0.20845589,288,314.186144
1.2241424,288,314.186247
1.2901409,288,314.186352
-1.0381724,288,314.186456
3.1026416,288,314.186553
-1.3976123,288,314.186657
0.89867437,288,314.18676
0.96761125,288,314.186861
1.9744651,288,314.186971
-0.48296943,288,314.187083
-1.5424414,288,314.187185
-0.5651147,288,314.187287
0.9995202,288,314.187391
2.27055,288,314.187489
-1.6539372,288,314.187635
1.2000685,288,314.18775
1.3993039,288,314.187864
0.40019393,288,314.18797
0.11197129,288,314.188075
0.028919226,288,314.188177
1.2499734,288,314.188278
1.0272081,288,314.188383
2.9284608,288,314.188483
1.5497897,288,314.188591
0.29150578,288,314.188696
-0.97213304,288,314.188811
-1.3037837,288,314.19001
-0.2427056,288,314.190129
-0.17093955,288,314.190244
1.0024967,288,314.190663
-1.3018627,288,314.191295
-0.67578596,288,314.19261
1.0804424,288,314.192745
0.63518244,288,314.192854
4.1932745,288,314.192963
-0.18721202,288,314.193121
-1.3406235,288,314.193234
1.5563021,288,314.193337
0.42718643,288,314.19344
-0.8036219,288,314.193546
0.2704061,288,314.193837
0.53128546,288,314.193946
0.9549802,288,314.194044
2.7347295,288,314.194162
1.1105893,288,314.194278
-0.8647786,288,314.194398
1.2942063,288,314.194505
0.2786823,288,314.194615
-1.656132,288,314.194724
-0.35979107,288,314.194845
0.23561706,288,314.19496
0.834305,288,314.195109
-0.4381943,288,314.195327
1.1222782,288,314.195442
-0.95422864,288,314.195554
1.4323564,288,314.195662
0.49238285,288,314.195809
0.97582734,288,314.195938
-0.8124422,288,314.196041
0.8614767,288,314.196142
2.8208842,288,314.196244
1.3064864,288,314.196353
0.22412972,288,314.196455
-0.09217454,288,314.196569
0.6418973,288,314.196674
-0.8867331,288,314.196779
0.42176914,288,314.19689
0.17305583,288,314.196992
-0.40089878,288,314.197094
1.182149,288,314.197196
-0.21640447,288,314.197299
-0.521805,288,314.197401
0.92896414,288,314.197501
-0.88721806,288,314.197611
0.76980376,288,314.197711
0.334127,288,314.197833
0.47125784,288,314.197944
-0.4668924,288,314.198054
0.77723795,288,314.19816
0.7731587,288,314.198265
0.4211762,288,314.19837
-0.2796833,288,314.198471
