#{"t_start": 1748024787.785243, "env_id": "None"}
r,l,t
-1.0644935,288,206.452115
-1.1635206,288,206.452122
0.4253714,288,206.452129
-0.64622205,288,206.452136
-0.3226447,288,206.452143
0.85280615,288,206.45215
-1.2605691,288,206.452157
-1.6792572,288,206.452164
1.6768068,288,206.45217
-0.21399558,288,206.452177
1.1965483,288,206.452184
-1.2812563,288,206.452192
-0.9745695,288,206.452199
0.8544163,288,206.452207
0.36722717,288,206.452215
-1.5983597,288,206.452222
0.029940575,288,206.452229
1.6537554,288,206.452236
-1.485633,288,206.452244
0.29577512,288,206.45225
-1.456476,288,206.452258
-1.4550668,288,257.313347
-0.6363172,288,257.313417
-0.99564946,288,257.313429
-1.966443,288,257.313438
-0.18291506,288,257.313446
0.6625454,288,257.313453
-1.0294092,288,257.31346
-1.8335662,288,257.313468
-0.90339833,288,257.313475
0.39130047,288,257.313482
-0.48024446,288,257.313489
-1.037856,288,257.313497
0.17329776,288,257.313505
0.9310914,288,257.313512
0.035495296,288,257.313519
0.5035121,288,257.313527
-1.4947712,288,257.313534
0.53597885,288,257.313541
2.0973365,288,257.313548
2.0140517,288,257.313555
1.1564965,288,257.313562
1.7878565,288,257.313569
0.871015,288,257.313576
1.0628368,288,257.313583
2.6185968,288,257.31359
0.8244444,288,257.313597
0.31312937,288,257.313603
1.683169,288,257.31361
-0.93501383,288,257.313617
-0.4147866,288,257.313624
-0.9205008,288,257.313631
-0.24724594,288,257.313637
0.47937784,288,257.313644
-0.7195375,288,257.313651
-0.5902515,288,257.313658
1.1019189,288,257.313665
0.47777894,288,257.313671
2.2906117,288,257.313678
-0.10001813,288,257.313686
-0.9855096,288,257.313693
-1.9806843,288,257.313699
1.6587001,288,257.313706
-1.023643,288,257.313713
-2.0362196,288,257.313719
-1.280068,288,257.313725
-0.5508062,288,257.313732
0.03535773,288,257.313739
2.837363,288,257.313746
-0.13975927,288,257.313753
0.21389116,288,257.31376
0.58639073,288,257.313766
-0.55931425,288,257.313773
0.6266015,288,257.313798
0.40137652,288,257.313805
-1.0116962,288,257.313812
-1.0141419,288,257.313818
0.48716092,288,257.313825
-1.8973969,288,257.313832
2.5777447,288,257.313838
-2.3558726,288,257.313845
-0.9390273,288,257.313851
-1.1872524,288,257.313857
1.7467742,288,257.313864
0.7773847,288,257.31387
0.5077086,288,308.574818
1.1959734,288,308.574887
-0.4192874,288,308.5749
-1.3663368,288,308.574909
-0.7009636,288,308.574917
0.23646739,288,308.574924
-0.60652596,288,308.574931
-0.2007961,288,308.574938
0.8624997,288,308.574945
0.11712298,288,308.574953
0.7641108,288,308.57496
0.26573643,288,308.574967
-1.7060568,288,308.574975
0.86775327,288,308.574982
-1.264996,288,308.57499
-0.6953768,288,308.574996
-0.8264878,288,308.575004
-1.4477668,288,308.575011
1.3313607,288,308.575018
-0.31240773,288,308.575024
-0.24734274,288,308.575032
0.24082792,288,308.575039
-1.7965142,288,308.575045
0.26442719,288,308.575052
-0.3768444,288,308.575059
-0.34758243,288,308.575066
-0.60795677,288,308.575073
0.577815,288,308.57508
-1.3823941,288,308.575087
1.2946414,288,308.575094
0.20497936,288,308.575101
-0.8009953,288,308.575108
1.9279817,288,308.575115
-0.47765714,288,308.575121
-0.20263386,288,308.575128
3.1363783,288,308.575135
0.16518736,288,308.575142
-0.6358306,288,308.575149
0.40700826,288,308.575157
0.45184287,288,308.575164
1.241144,288,308.575171
0.5893392,288,308.575185
0.34640938,288,308.575193
-1.2507534,288,308.5752
-2.1698925,288,308.575207
-1.184535,288,308.575214
3.059234,288,308.575221
0.9182019,288,308.575227
-0.74308866,288,308.575234
1.6725034,288,308.575241
-2.2791228,288,308.575248
-0.65281034,288,308.575255
-0.8434036,288,308.575262
-0.11077734,288,308.575277
2.4049454,288,308.575286
2.0622194,288,308.575293
-0.5027134,288,308.5753
0.36185288,288,308.575306
-1.0485604,288,308.575313
-0.15039903,288,308.57532
0.11711674,288,308.575329
0.88331187,288,308.575336
-1.1333709,288,308.575343
0.3770265,288,308.57535
-0.34767666,288,359.499826
-0.39323723,288,359.499897
0.91694367,288,359.499909
0.6949554,288,359.499918
2.8782463,288,359.499927
-0.01772869,288,359.499934
-0.44871044,288,359.499942
0.4692324,288,359.499952
-1.3794597,288,359.499959
-0.20531128,288,359.499967
-0.85111886,288,359.499974
1.2778745,288,359.499981
2.0545218,288,359.499989
-0.056304168,288,359.499997
2.0093622,288,359.500004
1.8942083,288,359.500011
0.13202895,288,359.500019
2.1345587,288,359.500026
1.2979016,288,359.500035
-0.481293,288,359.500042
2.277399,288,359.50005
1.9715044,288,359.500057
-0.13757502,288,359.500064
0.996329,288,359.500071
-0.5810945,288,359.500078
-0.5638984,288,359.500085
0.6349126,288,359.500092
0.44728494,288,359.500098
0.18557799,288,359.500106
0.55536044,288,359.500113
0.7789075,288,359.500125
1.8451425,288,359.500132
-1.4098958,288,359.500139
1.3768051,288,359.500145
1.1414646,288,359.500152
-0.98230577,288,359.500159
0.080628246,288,359.500166
0.1639733,288,359.500173
1.8899212,288,359.50018
-1.3526282,288,359.500187
2.0960402,288,359.500194
0.297493,288,359.500203
-1.100724,288,359.50021
1.0746406,288,359.500217
-0.7385923,288,359.500224
1.7269566,288,359.50023
0.12534824,288,359.500237
-0.9782964,288,359.500244
1.7813278,288,359.500251
-1.1366066,288,359.500258
0.9108913,288,359.500265
0.1496408,288,359.500279
-1.1584707,288,359.500287
0.25711954,288,359.500296
-0.28235418,288,359.500303
-1.72817,288,359.50031
0.09402361,288,359.500316
1.9553056,288,359.500323
1.1497403,288,359.500329
1.8589088,288,359.500338
0.87795055,288,359.500345
-0.9522098,288,359.500353
-0.2277124,288,359.50036
0.27048865,288,359.500366
-0.22987093,288,410.787555
1.2980958,288,410.787621
0.95023644,288,410.787634
-1.4776719,288,410.787643
-0.04919147,288,410.787651
-0.08081055,288,410.787659
0.46562052,288,410.787666
0.03456977,288,410.787674
1.4156759,288,410.787681
0.726333,288,410.787688
0.7365774,288,410.787695
-0.36284482,288,410.787703
-1.1622635,288,410.787711
-0.27466154,288,410.787718
0.43991548,288,410.78774
-0.1424325,288,410.787748
2.1632097,288,410.787754
-0.061438125,288,410.787761
-0.954536,288,410.787767
2.620045,288,410.787774
1.2644022,288,410.78778
0.8851577,288,410.787786
-0.74682045,288,410.787792
1.2709157,288,410.787799
-0.7483387,288,410.787805
-0.26761255,288,410.787812
0.49044198,288,410.787818
0.5155182,288,410.787824
1.0291269,288,410.78783
0.7316659,288,410.787837
0.3855346,288,410.787844
-1.0515435,288,410.78785
-0.88677746,288,410.787857
3.276969,288,410.787863
1.6951475,288,410.787869
1.1140581,288,410.787875
0.69940525,288,410.787881
-0.5291757,288,410.787889
1.9138163,288,410.787895
0.14894253,288,410.787901
-0.3957378,288,410.787913
0.14698702,288,410.78792
1.663745,288,410.787926
-0.5726357,288,410.787932
-0.16041967,288,410.787938
-1.2506008,288,410.787945
0.89452267,288,410.787951
-0.54185563,288,410.787958
0.9604881,288,410.787964
0.3621564,288,410.787971
0.5238796,288,410.787977
0.88817155,288,410.787983
0.85809994,288,410.787992
1.8911555,288,410.787999
-1.0237707,288,410.788005
0.688273,288,410.788012
-0.31514737,288,410.788018
1.2620233,288,410.788025
1.3883166,288,410.788031
2.8832588,288,410.788038
-0.3483571,288,410.788044
0.28691617,288,410.788051
-1.5479622,288,410.788058
-0.8801075,288,410.788066
0.18360275,288,461.989047
2.201997,288,461.989115
-0.11197058,288,461.989127
0.7533501,288,461.989136
3.0508304,288,461.989143
1.5563439,288,461.989151
1.2601467,288,461.989158
2.3447452,288,461.989165
0.24055666,288,461.989173
0.21064849,288,461.98918
0.2982361,288,461.989186
0.8446621,288,461.989193
-0.2478174,288,461.9892
-1.652748,288,461.989208
-0.76461643,288,461.989214
0.9457679,288,461.989221
0.99718654,288,461.989228
0.27098614,288,461.989234
-0.098276265,288,461.989242
-1.3167406,288,461.989249
1.1213331,288,461.989256
-0.83481896,288,461.989262
-0.69337285,288,461.989269
0.044970945,288,461.989285
-0.6080725,288,461.989292
0.11194044,288,461.989299
-0.21143574,288,461.989306
0.68869704,288,461.989312
-1.2151271,288,461.989319
-0.24371473,288,461.989326
-1.5814097,288,461.989333
0.71376944,288,461.989339
-0.63632065,288,461.989346
-1.0933267,288,461.989352
-1.4739661,288,461.989359
-1.4244113,288,461.989366
-0.08315572,288,461.989373
2.1091592,288,461.98938
-1.651152,288,461.989387
-1.0134513,288,461.989393
-1.6330597,288,461.9894
-0.4575427,288,461.989406
1.6839145,288,461.989415
-1.1072166,288,461.989422
-1.748798,288,461.98943
-0.028416652,288,461.989437
-1.1249285,288,461.989444
-0.99285406,288,461.98945
1.0445843,288,461.989457
0.20141122,288,461.989463
-0.13235499,288,461.98947
0.36818206,288,461.989477
-1.5077773,288,461.989484
-0.76610553,288,461.989491
1.2086593,288,461.989498
-0.38414973,288,461.989505
-1.2005138,288,461.989512
-0.19348116,288,461.989518
0.80856407,288,461.989525
0.13918276,288,461.989532
-0.62945706,288,461.989539
-0.033871364,288,461.989546
-0.9166225,288,461.989553
1.3216702,288,461.98956
-0.74340254,288,512.822306
-0.19801019,288,512.822373
-0.022660801,288,512.822386
-1.095106,288,512.822396
-0.4582401,288,512.822403
-0.41674894,288,512.822411
0.90531397,288,512.822418
2.5805318,288,512.822426
0.78096396,288,512.822433
1.3419346,288,512.82244
-0.27683756,288,512.822448
0.61182415,288,512.822455
-1.8362939,288,512.822462
-0.12451182,288,512.822469
-1.4658997,288,512.822476
-0.5720679,288,512.822483
0.6176042,288,512.82249
-0.9345563,288,512.822497
0.25138742,288,512.822504
3.2717688,288,512.822511
-0.03675794,288,512.822518
-1.1696496,288,512.822525
-0.22086084,288,512.822532
1.5177959,288,512.822539
-1.4328632,288,512.822546
1.5839062,288,512.822553
0.36114258,288,512.822561
-0.9890184,288,512.822568
0.85416216,288,512.822575
0.3700778,288,512.822582
-0.34622648,288,512.822589
-0.5951849,288,512.822596
-0.36390197,288,512.822603
-1.1812725,288,512.82261
-1.616684,288,512.822617
-0.31037748,288,512.822623
0.16030338,288,512.822632
-1.9525027,288,512.822639
-0.20951578,288,512.822647
0.73414755,288,512.822669
0.21766032,288,512.822676
-1.2528486,288,512.822682
0.24073818,288,512.822688
-1.099467,288,512.822695
1.1257577,288,512.822701
0.36060607,288,512.822707
0.37933862,288,512.822713
-0.77864945,288,512.82272
-0.46139407,288,512.822726
0.084609605,288,512.822732
-0.8172787,288,512.822739
-1.0751313,288,512.822745
-0.8459202,288,512.822751
0.80612653,288,512.822757
-1.1257914,288,512.822763
-0.66420573,288,512.82277
3.36988,288,512.822777
0.25207752,288,512.822784
0.9048507,288,512.82279
0.63989544,288,512.822797
1.1622305,288,512.822803
-0.5162829,288,512.822809
0.68771726,288,512.822816
0.0744462,288,512.822822
0.9108888,288,563.998709
0.2506562,288,563.99878
1.3812032,288,563.998793
0.6379825,288,563.998802
-0.6497648,288,563.99881
-0.66802144,288,563.998817
1.6504192,288,563.998825
-0.67465323,288,563.998832
-0.20179135,288,563.99884
0.09562591,288,563.998847
2.4775245,288,563.998854
0.45006374,288,563.998861
-0.56596035,288,563.99887
-0.6240686,288,563.998877
-1.3121583,288,563.998884
1.279338,288,563.998892
-0.5119131,288,563.998899
-1.163902,288,563.998906
-1.1280649,288,563.998913
0.91263056,288,563.99892
-1.9540912,288,563.998927
0.0067265155,288,563.998935
-0.81519276,288,563.998942
2.427844,288,563.998949
0.25824812,288,563.998956
0.39736664,288,563.998963
1.2760985,288,563.998971
