#{"t_start": 1747986995.100196, "env_id": "None"}
r,l,t
-0.77140385,288,200.485285
2.7378657,288,200.485292
2.2735405,288,200.485298
0.0043737674,288,200.485305
-2.1949048,288,200.485312
0.79802096,288,200.485326
0.7322575,288,200.485334
-0.44592813,288,200.48534
1.2613554,288,200.485347
-0.10514492,288,200.485353
-1.182831,288,200.48536
1.9408159,288,200.485367
0.4109554,288,200.485373
0.4460617,288,200.485379
-0.06987504,288,200.485386
1.5134112,288,200.485393
-0.8431079,288,200.485399
-1.008782,288,200.485406
-0.81342274,288,200.485413
1.815639,288,200.48542
0.2862531,288,248.761333
0.7519983,288,248.761409
0.05630077,288,248.76142
0.13702346,288,248.761429
-0.6192874,288,248.761436
-0.055177238,288,248.761443
0.8375454,288,248.761451
-0.38967434,288,248.761457
1.3094617,288,248.761464
2.3358474,288,248.76147
-0.29017967,288,248.761477
0.49321613,288,248.761484
1.1883229,288,248.76149
0.36700946,288,248.761496
1.1127391,288,248.761503
2.017243,288,248.761509
1.021545,288,248.761515
0.7033633,288,248.761523
0.0409904,288,248.76153
1.3479433,288,248.761536
1.1646324,288,248.761543
2.5573342,288,248.761549
-0.25688052,288,248.761555
0.027370958,288,248.761562
-0.24931157,288,248.761568
1.1554317,288,248.761575
-0.08738162,288,248.761584
3.0647883,288,248.761591
0.015606341,288,248.761597
0.7193375,288,248.761604
-0.61463904,288,248.76161
3.3279142,288,248.761617
-0.25282314,288,248.761623
-0.08043761,288,248.761629
2.243303,288,248.761636
0.2826133,288,248.761642
2.575427,288,248.761649
3.4557471,288,248.761655
0.13632987,288,248.761663
-0.22502959,288,248.76167
-0.13155816,288,248.761677
0.05238881,288,248.761683
-0.4046675,288,248.76169
2.6292264,288,248.761696
1.1606907,288,248.761703
2.6359305,288,248.761709
1.4835877,288,248.761716
0.4222335,288,248.761722
2.5259883,288,248.761729
1.0807471,288,248.761735
2.585886,288,248.761743
0.52777743,288,248.761749
1.5998144,288,248.761765
0.7736195,288,248.76177
2.9100919,288,248.761776
2.1332402,288,248.761781
0.31746766,288,248.761787
2.8224156,288,248.761793
-0.18844967,288,248.761798
0.17264341,288,248.761804
1.1009675,288,248.76181
